http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	jefe de escuadrón	instructor
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	comandante de aeronave	instructor de simulador
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	instructor	oficial del Ejército del Aire
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	comandante de aeronave	instructor
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	oficial de operaciones	instructora
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	jefe de escuadrón	piloto militar del Ejército del Aire
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	instructora de simulador	oficial del Ejército del Aire
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	jefa de escuadrón	instructor
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	piloto militar del Ejército del Aire	instructor
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	comandante de aeronave	jefe de escuadrón
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	teniente de las Fuerzas Armadas	oficial de la infantería de marina
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	teniente de las Fuerzas Armadas	oficial del Ejército del Aire
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	alférez de navío	teniente de las Fuerzas Armadas
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	alférez de fragata guardamarina	alférez de navío
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	teniente de navío	oficial del Ejército del Aire
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	alférez	alférez de fragata guardamarina
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	teniente del Ejército	oficial del Ejército de Tierra
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	teniente de las Fuerzas Armadas	teniente del Ejército
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	oficial del Ejército de Tierra	teniente de las Fuerzas Armadas
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	oficial del Ejército de Tierra	teniente de navío
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	oficial de la Armada	oficial de las Fuerzas Armadas
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	oficial de infantería de marina	oficial de las Fuerzas Armadas
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	oficial de la Armada	oficial de infantería de marina
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	jefe de escuadrón	jefa de escuadrón
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	jefe de escuadrón	comandante
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	jefa de escuadrón	comandante
